country_code,state_province,city,latitude,longitude,maturity_segment,fast_station_share,median_power_kw,has_fast_dc,has_ultra_dc,dc_fast_station_count,dc_ultra_station_count,station_count,port_count
EE,Tartu maakond,Puhja,58.338424,26.313068,Developing EV Infrastructure,0.0,47.0,0,0,0,0,1,1
EE,Tartu maakond,Rõngu,58.141578,26.247854,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Tartu maakond,Tartu,58.374499444444446,26.715467333333336,Developing EV Infrastructure,1.0,50.0,1,0,9,0,9,10
EE,Tartu maakond,Tartu linn,58.373471,26.751872,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,UNKNOWN,Arumetsa,58.074399,24.512231,Mature Fast-Charging Hub,1.0,350.0,1,1,1,1,1,6
EE,UNKNOWN,Pärnu,58.380532,24.491924,Emerging EV Infrastructure,0.0,22.0,0,0,0,0,1,2
EE,UNKNOWN,Tallinn,59.4348625,24.7757915,Emerging EV Infrastructure,0.1666666666666666,22.0,1,0,1,0,6,9
EE,UNKNOWN,Viimsi Vald,59.548612,24.836208,Emerging EV Infrastructure,0.0,11.0,0,0,0,0,1,1
EE,Valga maakond,Otepää,58.062474,26.498058,Mature Fast-Charging Hub,1.0,180.0,1,1,1,1,1,1
EE,Valga maakond,Sangaste,57.925263,26.327736,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Valga maakond,Tõrva,58.006203,25.916309,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Valga maakond,Valga linn,57.785234,26.0340685,Developing EV Infrastructure,1.0,50.0,1,0,2,0,2,2
EE,Viljandi maakond,Mustla,58.234678,25.866074,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Viljandi maakond,Viljandi,58.371211200000005,25.5864216,Developing EV Infrastructure,1.0,50.0,1,1,5,1,5,7
EE,Viljandi maakond,Viljandi maakond,58.105186,25.545968,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Viljandi maakond,Viljandi vald,58.393098,25.820522,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Viljandi maakond,Võhma,58.631727,25.57305,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
EE,Viljandimaa,Tuhalaane,58.176139,25.616083,Emerging EV Infrastructure,0.0,22.0,0,0,0,0,1,1
EE,Viljandimaa,Viljandi,58.36203,25.606582,Emerging EV Infrastructure,0.0,22.0,0,0,0,0,1,4
EE,Vormsi island,Vormsi,58.991857,23.242646,Developing EV Infrastructure,1.0,50.0,1,0,1,0,1,1
